"NOC","Gold","Silver","Bronze"
"USA",1131,901,791
"URS",471,373,353
"GER",319,345,340
"GBR",289,320,310
"FRA",264,286,329
"ITA",256,225,241
"SWE",200,215,242
"CHN",239,184,172
"RUS",202,183,199
"GDR",192,165,162
"HUN",178,156,176
"AUS",153,170,196
"NOR",167,159,148
"JPN",152,151,179
"FIN",146,148,177
"CAN",126,160,189
"NED",125,133,149
"SUI",108,122,116
"KOR",116,102,98
"AUT",85,118,123
"ROU",88,95,121
"POL",75,94,141
"FRG",67,82,94
"CUB",77,67,70
"BUL",52,88,83
"DEN",49,82,80
"TCH",51,58,62
"BEL",45,60,66
"ESP",45,63,42
"GRE",42,57,52
"EUN",54,44,37
"UKR",37,33,63
"NZL",47,28,44
"BRA",30,36,62
"KEN",31,38,31
"TUR",40,27,28
"BLR",19,32,48
"RSA",25,33,30
"YUG",26,32,29
"JAM",22,32,22
"CZE",22,26,30
"KAZ",20,25,32
"ARG",21,25,28
"IRI",18,21,29
"MEX",13,24,30
"PRK",16,16,24
"ETH",22,9,22
"CRO",15,16,13
"EST",13,11,17
"AZE",7,12,25
"SLO",7,12,19
"SVK",11,13,9
"IRL",9,11,13
"UZB",10,7,17
"GEO",8,6,18
"INA",7,12,11
"THA",9,8,13
"IND",10,7,12
"EGY",7,8,12
"COL",5,9,14
"LAT",3,15,8
"LTU",6,6,13
"MGL",2,10,14
"POR",4,8,12
"MAR",6,5,12
"NGR",3,8,13
"TPE",3,7,14
"TTO",3,5,11
"ALG",5,4,8
"BAH",6,2,6
"SRB",3,6,6
"ARM",2,5,9
"CHI",2,7,4
"VEN",2,3,10
"TUN",3,3,7
"ANZ",3,4,5
"MAS",0,7,4
"PAK",3,3,4
"LUX",4,4,0
"SCG",2,4,3
"URU",2,2,6
"ZIM",3,4,1
"LIE",2,2,5
"PHI",0,3,7
"DOM",3,2,2
"PUR",1,2,6
"ISR",1,1,7
"UGA",2,3,2
"CMR",3,1,1
"MDA",0,2,5
"BOH",0,1,6
"SGP",1,2,2
"IOA",1,1,3
"PER",1,3,0
"VIE",1,3,0
"NAM",0,4,0
"CRC",1,1,2
"QAT",0,1,4
"TJK",1,1,2
"ISL",0,2,2
"LIB",0,2,2
"BRN",1,1,1
"CIV",1,1,1
"GHA",0,1,3
"HAI",1,1,1
"HKG",1,1,1
"SYR",1,1,1
"PAN",1,0,2
"BDI",1,1,0
"ECU",1,1,0
"GRN",1,1,0
"KGZ",0,1,2
"KSA",0,1,2
"MOZ",1,0,1
"SRI",0,2,0
"SUR",1,0,1
"TAN",0,2,0
"UAE",1,0,1
"NIG",0,1,1
"UAR",0,1,1
"ZAM",0,1,1
"AFG",0,0,2
"FIJ",1,0,0
"JOR",1,0,0
"KOS",1,0,0
"KUW",0,0,2
"NEP",1,0,0
"WIF",0,0,2
"AHO",0,1,0
"BOT",0,1,0
"CYP",0,1,0
"GAB",0,1,0
"GUA",0,1,0
"ISV",0,1,0
"MNE",0,1,0
"PAR",0,1,0
"SEN",0,1,0
"SUD",0,1,0
"TGA",0,1,0
"BAR",0,0,1
"BER",0,0,1
"DJI",0,0,1
"ERI",0,0,1
"GUY",0,0,1
"IRQ",0,0,1
"MKD",0,0,1
"MON",0,0,1
"MRI",0,0,1
"TOG",0,0,1
