"NOC","Gold","Silver","Bronze"
"USA",344,262,210
"GBR",59,85,68
"URS",64,55,74
"FIN",49,35,32
"GDR",38,36,35
"GER",22,43,47
"KEN",30,37,26
"SWE",21,25,46
"RUS",26,27,24
"JAM",22,32,21
"AUS",21,27,28
"FRA",14,27,29
"POL",24,19,14
"ITA",19,15,26
"CAN",15,16,31
"ETH",22,9,22
"HUN",11,15,19
"FRG",12,14,17
"CUB",10,14,16
"ROU",11,14,10
"GRE",8,14,14
"RSA",8,14,6
"TCH",11,8,5
"CHN",8,5,14
"JPN",7,9,9
"NZL",10,3,11
"EUN",7,11,3
"NOR",7,5,8
"BUL",5,8,6
"MAR",6,5,8
"BLR",4,6,7
"NED",6,4,6
"BRA",5,3,8
"UKR",2,3,13
"BEL",4,7,2
"TTO",3,4,8
"ESP",3,5,6
"BAH",5,2,5
"CZE",5,1,6
"MEX",3,6,2
"NGR",2,3,8
"POR",4,2,4
"ALG",4,3,2
"IRL",4,2,0
"SUI",0,6,2
"AUT",1,2,4
"DEN",0,4,3
"ARG",2,3,0
"CRO",3,1,1
"EST",2,1,3
"LTU",3,1,1
"TUR",1,2,3
"TUN",1,3,1
"LAT",0,4,1
"KAZ",2,0,2
"NAM",0,4,0
"SLO",1,2,1
"DOM",2,1,0
"UGA",2,0,1
"BRN",1,1,1
"COL",1,1,1
"CMR",2,0,0
"LUX",2,0,0
"PAN",1,0,2
"BDI",1,1,0
"ECU",1,1,0
"GRN",1,1,0
"KOR",1,1,0
"QAT",0,1,2
"CHI",0,2,0
"IND",0,2,0
"MOZ",1,0,1
"SRI",0,2,0
"TAN",0,2,0
"YUG",0,2,0
"ISL",0,1,1
"TPE",0,1,1
"VEN",0,1,1
"PHI",0,0,2
"SVK",1,0,0
"SYR",1,0,0
"TJK",1,0,0
"WIF",0,0,2
"BOH",0,1,0
"BOT",0,1,0
"CIV",0,1,0
"GUA",0,1,0
"HAI",0,1,0
"IRI",0,1,0
"KSA",0,1,0
"SEN",0,1,0
"SUD",0,1,0
"ZAM",0,1,0
"ANZ",0,0,1
"BAR",0,0,1
"DJI",0,0,1
"ERI",0,0,1
"PUR",0,0,1
"SRB",0,0,1
