"NOC","Gold","Silver","Bronze"
"FRA",42,28,28
"GBR",34,34,25
"ITA",37,16,10
"USA",16,21,20
"GER",15,20,19
"NED",18,19,12
"AUS",14,19,18
"BEL",7,8,12
"DEN",7,9,10
"URS",11,4,9
"SUI",5,8,6
"RUS",5,5,9
"GDR",6,6,4
"SWE",4,5,8
"ESP",5,5,5
"FRG",4,5,5
"CAN",1,5,8
"POL",0,7,4
"RSA",1,4,3
"NZL",1,3,4
"CHN",1,3,3
"TCH",2,2,2
"COL",2,1,3
"GRE",1,3,0
"NOR",2,0,2
"LAT",2,0,1
"JPN",0,1,3
"AUT",1,0,2
"CZE",1,1,0
"KAZ",1,1,0
"UKR",0,1,2
"MEX",0,1,1
"ARG",1,0,0
"EST",1,0,0
"CUB",0,1,0
"POR",0,1,0
"URU",0,1,0
"BLR",0,0,1
"HKG",0,0,1
"JAM",0,0,1
"LTU",0,0,1
"MAS",0,0,1
"VEN",0,0,1
