"NOC","Gold","Silver","Bronze"
"URS",71,65,43
"USA",35,42,36
"JPN",31,32,31
"ROU",24,20,25
"CHN",26,18,17
"SUI",16,19,13
"RUS",10,15,19
"HUN",15,12,13
"GER",14,12,14
"TCH",12,13,10
"GDR",6,13,17
"ITA",14,7,10
"FRA",5,9,11
"FIN",6,5,12
"EUN",9,5,4
"UKR",5,3,4
"GRE",6,2,3
"GBR",2,3,9
"YUG",5,2,4
"SWE",5,2,1
"BUL",2,2,6
"KOR",1,4,4
"NOR",2,2,1
"DEN",1,3,1
"ESP",2,1,1
"BRA",1,2,1
"NED",3,0,0
"PRK",3,0,0
"AUT",2,1,0
"POL",1,1,2
"BLR",0,0,4
"LAT",1,1,0
"BEL",0,1,1
"CAN",1,0,0
"CRO",0,1,0
"FRG",0,0,1
"UZB",0,0,1
