"NOC","Gold","Silver","Bronze"
"USA",54,29,27
"SWE",15,25,19
"CHN",22,15,19
"URS",17,15,17
"GBR",15,15,20
"ITA",16,16,11
"FRA",12,15,14
"NOR",13,9,11
"RUS",7,14,12
"SUI",10,9,10
"GER",11,9,6
"GRE",6,7,8
"FIN",4,7,10
"KOR",7,8,1
"DEN",3,10,5
"HUN",7,3,7
"BUL",4,6,6
"GDR",3,8,5
"ROU",6,4,5
"POL",4,3,5
"FRG",4,4,3
"AUS",5,1,5
"CAN",4,3,2
"TCH",4,3,2
"EUN",5,2,1
"UKR",4,2,2
"BEL",1,5,3
"CZE",2,3,4
"AUT",1,2,5
"BLR",1,2,4
"JPN",1,2,3
"IOA",1,1,3
"BRA",1,2,1
"IND",1,2,1
"SCG",1,2,1
"SVK",0,2,3
"CRO",2,0,1
"CUB",1,0,3
"PER",1,2,0
"YUG",2,0,1
"AZE",1,0,2
"ESP",0,2,1
"KAZ",0,2,1
"PRK",1,0,2
"SLO",1,0,2
"VIE",1,1,0
"COL",0,2,0
"MGL",0,1,1
"NED",0,1,1
"NZL",0,1,1
"SRB",0,1,1
"KUW",0,0,2
"LTU",1,0,0
"UAE",1,0,0
"ARG",0,1,0
"CHI",0,1,0
"LAT",0,1,0
"MDA",0,1,0
"MEX",0,1,0
"POR",0,1,0
"RSA",0,1,0
"GEO",0,0,1
"HAI",0,0,1
"QAT",0,0,1
"VEN",0,0,1
