"NOC","Gold","Silver","Bronze"
"USA",50,24,39
"CUB",37,19,17
"GBR",18,13,25
"URS",14,19,18
"ITA",15,15,17
"POL",8,9,26
"RUS",10,5,15
"GER",5,12,12
"FRA",6,9,10
"ARG",7,7,10
"KAZ",7,7,8
"HUN",10,2,8
"ROU",1,9,15
"RSA",6,4,9
"KOR",3,7,10
"BUL",4,5,9
"CAN",3,7,7
"IRL",2,5,9
"THA",4,4,6
"UKR",4,3,7
"GDR",5,2,6
"UZB",4,2,8
"FIN",2,1,12
"CHN",3,3,6
"MEX",2,3,8
"DEN",1,5,6
"YUG",3,2,6
"SWE",0,5,6
"PRK",2,3,3
"TCH",3,1,2
"MGL",1,2,4
"NED",1,2,4
"AZE",0,1,7
"KEN",1,1,5
"VEN",1,2,3
"NGR",0,3,3
"ALG",1,0,5
"FRG",1,0,5
"JPN",2,0,3
"NOR",1,2,2
"BRA",1,1,3
"PUR",0,1,5
"PHI",0,2,3
"TUR",0,2,3
"BEL",1,1,2
"COL",0,1,4
"UGA",0,3,1
"ESP",0,2,2
"AUS",0,1,3
"NZL",1,1,1
"MAR",0,0,4
"CHI",0,1,2
"EGY",0,1,2
"GHA",0,1,2
"BLR",0,2,0
"DOM",1,0,1
"CMR",0,1,1
"EUN",0,1,1
"IND",0,0,2
"MDA",0,0,2
"TUN",0,0,2
"ANZ",0,1,0
"CZE",0,1,0
"EST",0,1,0
"TGA",0,1,0
"ARM",0,0,1
"BER",0,0,1
"CRO",0,0,1
"GEO",0,0,1
"GUY",0,0,1
"LTU",0,0,1
"MRI",0,0,1
"NIG",0,0,1
"PAK",0,0,1
"SYR",0,0,1
"TJK",0,0,1
"UAR",0,0,1
"URU",0,0,1
"ZAM",0,0,1
