"NOC","Gold","Silver","Bronze"
"USA",33,32,24
"GBR",31,24,13
"GER",27,18,14
"GDR",33,7,8
"ITA",14,15,15
"URS",12,20,10
"ROU",19,10,9
"AUS",11,15,14
"CAN",9,17,15
"FRA",8,16,16
"NED",7,12,12
"NZL",11,3,10
"SUI",7,8,9
"DEN",7,5,12
"POL",4,3,11
"NOR",3,6,8
"FRG",4,4,6
"BUL",3,4,7
"TCH",2,2,7
"BEL",0,7,2
"CHN",1,4,4
"GRE",1,4,3
"FIN",3,1,3
"BLR",2,1,4
"CRO",1,3,1
"CZE",1,3,1
"AUT",0,3,2
"SLO",1,1,3
"YUG",1,1,3
"ARG",1,1,2
"RUS",1,0,3
"RSA",1,1,1
"UKR",1,1,1
"URU",0,1,3
"EST",0,2,1
"HUN",0,1,2
"LTU",0,1,2
"SWE",0,2,0
"ESP",0,1,0
"IRL",0,1,0
"EUN",0,0,1
