"NOC","Gold","Silver","Bronze"
"GER",36,23,22
"HUN",25,29,26
"URS",29,13,9
"SWE",15,11,4
"ROU",10,10,14
"FRA",8,9,19
"GDR",14,7,9
"CAN",4,10,10
"AUS",3,8,13
"SVK",8,6,4
"GBR",5,7,5
"ITA",6,6,4
"ESP",5,7,4
"BUL",4,5,8
"POL",0,7,13
"USA",5,5,6
"NOR",6,4,4
"TCH",7,4,1
"CZE",4,5,5
"NZL",7,3,2
"DEN",3,6,5
"AUT",3,5,6
"RUS",2,3,8
"FIN",5,2,3
"FRG",2,6,3
"UKR",3,2,3
"BLR",2,2,4
"NED",0,3,5
"YUG",2,2,1
"CUB",0,3,0
"BRA",0,2,1
"CHN",2,0,0
"EUN",1,1,0
"LAT",0,2,0
"SLO",0,2,0
"AZE",0,1,1
"LTU",0,1,1
"MDA",0,1,0
"POR",0,1,0
"SRB",0,1,0
"SUI",0,1,0
"ISR",0,0,1
"JPN",0,0,1
"RSA",0,0,1
"TOG",0,0,1
