"NOC","Gold","Silver","Bronze"
"JPN",39,19,26
"FRA",14,10,25
"KOR",11,16,16
"CUB",6,14,16
"CHN",8,3,11
"URS",5,5,11
"NED",4,2,17
"BRA",4,3,15
"GER",3,3,14
"GBR",0,8,11
"RUS",5,4,7
"ITA",4,4,7
"USA",2,4,8
"BEL",2,1,9
"POL",3,3,2
"GEO",3,2,3
"HUN",1,3,5
"FRG",1,4,3
"GDR",1,2,6
"PRK",2,2,4
"MGL",1,3,4
"ESP",3,1,2
"AUT",2,2,1
"ROU",1,2,3
"SLO",2,0,3
"UZB",0,2,4
"AZE",1,2,1
"CAN",0,2,3
"EUN",2,0,2
"ISR",0,1,4
"SUI",1,1,2
"KAZ",0,2,1
"BUL",0,1,2
"UKR",0,1,2
"ARG",1,0,1
"BLR",1,0,1
"EST",0,0,3
"GRE",1,0,1
"TUR",1,0,1
"ALG",0,1,1
"COL",0,1,1
"EGY",0,1,1
"AUS",0,0,2
"CZE",1,0,0
"KOS",1,0,0
"POR",0,0,2
"YUG",0,0,2
"SVK",0,1,0
"ISL",0,0,1
"KGZ",0,0,1
"LAT",0,0,1
"TCH",0,0,1
"TJK",0,0,1
"UAE",0,0,1
