"NOC","Gold","Silver","Bronze"
"GBR",28,20,11
"USA",19,23,19
"FRA",15,9,15
"SWE",10,12,13
"NOR",14,11,3
"DEN",12,9,9
"AUS",11,8,8
"ESP",13,5,1
"NED",7,9,7
"NZL",9,7,6
"BRA",7,3,8
"GER",4,5,6
"ITA",3,3,8
"URS",4,5,3
"FIN",2,2,7
"ARG",1,4,5
"AUT",3,4,1
"BEL",2,4,3
"GRE",3,2,3
"CAN",0,3,6
"FRG",2,2,3
"CHN",2,3,1
"GDR",2,2,2
"UKR",1,2,2
"SUI",1,2,1
"POL",1,0,3
"POR",0,2,2
"ISR",1,0,2
"SLO",0,2,1
"CRO",1,1,0
"RUS",0,1,2
"BAH",1,0,1
"IRL",0,2,0
"JPN",0,1,1
"EST",0,0,2
"HKG",1,0,0
"AHO",0,1,0
"CUB",0,1,0
"CYP",0,1,0
"CZE",0,1,0
"ISV",0,1,0
"LTU",0,1,0
"HUN",0,0,1
