"NOC","Gold","Silver","Bronze"
"USA",246,170,134
"AUS",60,67,66
"GDR",38,32,22
"HUN",29,26,20
"JPN",22,26,32
"GBR",17,30,32
"GER",14,25,35
"NED",22,18,19
"URS",12,21,26
"CHN",13,19,11
"CAN",8,15,26
"FRA",8,15,20
"SWE",9,15,14
"RUS",5,9,9
"ITA",5,5,12
"FRG",3,5,14
"RSA",6,6,6
"DEN",3,5,6
"AUT",2,6,6
"EUN",6,3,1
"BRA",1,4,9
"ROU",3,2,4
"UKR",4,2,1
"ANZ",2,3,3
"ESP",2,2,4
"ZIM",2,4,1
"GRE",1,4,2
"NZL",2,1,3
"POL",1,3,2
"BEL",1,2,2
"IRL",3,0,1
"KOR",1,3,0
"CRC",1,1,2
"TUN",2,0,1
"ARG",1,1,1
"BUL",1,1,1
"FIN",0,1,3
"BLR",0,2,1
"YUG",1,1,0
"MEX",1,0,1
"SUR",1,0,1
"SVK",0,2,0
"CUB",0,1,1
"NOR",0,1,1
"KAZ",1,0,0
"LTU",1,0,0
"PHI",0,0,2
"SGP",1,0,0
"CRO",0,1,0
"SLO",0,1,0
"SRB",0,1,0
"SUI",0,0,1
"TTO",0,0,1
"VEN",0,0,1
