"NOC","Gold","Silver","Bronze"
"USA",52,42,34
"URS",62,31,23
"SWE",28,27,31
"FIN",27,29,29
"JPN",32,20,17
"BUL",16,32,21
"TUR",29,18,16
"RUS",29,16,15
"HUN",19,16,20
"IRI",9,14,20
"KOR",11,11,14
"GER",5,18,12
"ROU",7,8,18
"POL",5,9,12
"CUB",9,6,7
"AZE",4,8,11
"ITA",7,4,10
"EUN",6,5,5
"CAN",3,7,7
"FRA",4,4,9
"GEO",3,4,11
"YUG",4,6,6
"GBR",3,4,10
"SUI",4,4,7
"UKR",3,6,6
"KAZ",1,5,11
"TCH",1,7,7
"DEN",2,4,7
"EST",5,2,4
"UZB",4,3,3
"PRK",3,2,5
"CHN",2,3,5
"GRE",1,3,7
"BLR",0,4,7
"NOR",4,2,2
"FRG",1,4,4
"ARM",2,3,3
"MGL",0,4,5
"GDR",2,3,2
"EGY",2,2,2
"AUT",1,2,3
"BEL",0,3,1
"IND",0,1,4
"AUS",0,1,2
"LIB",0,1,2
"KGZ",0,1,1
"COL",0,0,2
"LTU",0,0,2
"SRB",1,0,0
"LAT",0,1,0
"MEX",0,1,0
"PUR",0,1,0
"SYR",0,1,0
"TJK",0,1,0
"UAR",0,1,0
"ESP",0,0,1
"MDA",0,0,1
"MKD",0,0,1
"PAK",0,0,1
"SVK",0,0,1
"TUN",0,0,1
